iter	Passed	Remaining
0	0	798
1	1	748
2	2	746
3	2	700
4	3	690
5	4	692
6	4	680
7	5	664
8	5	655
9	6	645
10	7	638
11	7	636
12	8	630
13	8	626
14	9	621
15	10	617
16	10	615
17	11	612
18	11	610
19	12	609
20	13	608
21	13	606
22	14	604
23	14	602
24	15	601
25	16	600
26	16	601
27	17	603
28	17	602
29	18	601
30	19	599
31	19	597
32	20	596
33	20	595
34	21	593
35	22	592
36	22	590
37	23	590
38	23	588
39	24	587
40	25	586
41	25	584
42	26	583
43	26	582
44	27	581
45	27	579
46	28	577
47	29	575
48	29	575
49	30	574
50	30	573
51	31	573
52	32	573
53	32	574
54	33	578
55	34	578
56	34	577
57	35	577
58	36	576
59	36	574
60	37	573
61	37	572
62	38	571
63	39	570
64	39	570
65	40	570
66	40	570
67	41	568
68	42	567
69	42	567
70	43	567
71	43	566
72	44	564
73	45	563
74	45	562
75	46	561
76	46	561
77	47	561
78	48	562
79	49	567
80	49	566
81	50	565
82	50	561
83	51	559
84	51	558
85	52	557
86	53	558
87	53	558
88	54	557
89	55	556
90	55	555
91	56	554
92	56	554
93	57	553
94	57	551
95	58	550
96	59	549
97	60	553
98	60	552
99	61	552
100	62	552
101	62	552
102	63	552
103	64	551
104	64	550
105	65	550
106	66	554
107	67	553
108	67	552
109	68	551
110	68	550
111	69	548
112	69	548
113	70	547
114	71	546
115	71	545
116	71	543
117	72	542
118	73	540
119	73	539
120	74	538
121	74	536
122	75	535
123	75	533
124	76	532
125	76	532
126	77	530
127	77	530
128	78	529
129	78	527
130	79	528
131	80	527
132	80	527
133	81	526
134	82	525
135	82	524
136	83	527
137	84	527
138	85	529
139	86	530
140	86	529
141	87	528
142	88	527
143	88	527
144	89	526
145	89	526
146	90	525
147	91	524
148	92	527
149	92	526
150	93	525
151	94	526
152	94	525
153	95	524
154	95	522
155	96	521
156	97	521
157	97	519
158	98	518
159	98	519
160	99	517
161	99	516
162	100	515
163	100	514
164	101	513
165	102	513
166	102	512
167	103	511
168	103	510
169	104	512
170	105	511
171	106	510
172	106	510
173	107	509
174	107	508
175	108	507
176	109	506
177	109	506
178	110	506
179	111	505
180	111	505
181	112	504
182	112	503
183	113	502
184	113	501
185	114	501
186	115	500
187	115	499
188	116	498
189	116	497
190	117	496
191	118	496
192	118	495
193	119	494
194	119	493
195	120	493
196	120	492
197	121	491
198	122	491
199	122	490
200	123	489
201	123	489
202	126	494
203	126	494
204	127	494
205	128	493
206	128	492
207	129	491
208	129	490
209	130	489
210	131	491
211	131	490
212	132	489
213	133	488
214	133	488
215	134	487
216	134	486
217	135	485
218	135	484
219	136	485
220	137	484
221	138	483
222	138	482
223	140	485
224	140	484
225	141	484
226	142	484
227	142	483
228	143	482
229	143	481
230	144	480
231	145	480
232	145	479
233	146	479
234	146	478
235	147	477
236	148	477
237	148	476
238	149	475
239	150	476
240	151	475
241	151	475
242	153	477
243	153	476
244	154	476
245	155	475
246	155	475
247	156	474
248	157	473
249	157	472
250	158	471
251	158	471
252	159	470
253	159	469
254	160	468
255	161	468
256	161	467
257	162	466
258	162	465
259	163	465
260	163	464
261	164	463
262	165	463
263	165	462
264	166	462
265	167	461
266	168	462
267	169	462
268	169	461
269	170	460
270	171	460
271	171	459
272	172	459
273	172	458
274	173	457
275	173	456
276	174	455
277	175	454
278	175	453
279	176	452
280	176	452
281	177	451
282	177	450
283	178	449
284	178	449
285	179	448
286	180	447
287	180	446
288	181	446
289	182	446
290	182	445
291	183	444
292	184	444
293	184	443
294	185	443
295	186	442
296	186	441
297	187	441
298	187	440
299	188	439
300	188	438
301	189	438
302	190	437
303	190	436
304	191	436
305	192	435
306	192	434
307	193	433
308	193	432
309	194	432
310	194	431
311	195	431
312	196	430
313	197	430
314	197	430
315	198	429
316	199	429
317	199	428
318	200	427
319	201	427
320	201	426
321	202	425
322	202	425
323	203	424
324	204	423
325	204	423
326	205	422
327	205	421
328	206	420
329	206	420
330	207	419
331	208	418
332	208	418
333	209	417
334	210	416
335	210	416
336	211	416
337	212	415
338	212	414
339	214	415
340	214	414
341	215	414
342	215	413
343	216	412
344	217	412
345	217	411
346	218	410
347	218	409
348	219	409
349	219	408
350	220	407
351	220	406
352	221	405
353	222	405
354	222	404
355	223	403
356	223	402
357	224	402
358	224	401
359	225	400
360	226	400
361	226	399
362	227	399
363	228	399
364	229	399
365	230	398
366	230	398
367	231	397
368	231	396
369	232	395
370	233	395
371	233	394
372	234	394
373	235	393
374	235	392
375	236	392
376	236	391
377	237	390
378	237	389
379	238	388
380	238	388
381	239	387
382	240	386
383	240	386
384	241	385
385	242	385
386	242	384
387	243	383
388	243	382
389	244	382
390	244	381
391	245	380
392	246	380
393	246	379
394	247	378
395	247	377
396	248	377
397	248	376
398	249	375
